alg,fitness
RANDOMSEARCH,-3.31615
RANDOMSEARCH,-3.4343
RANDOMSEARCH,-3.34683
RANDOMSEARCH,-3.33893
RANDOMSEARCH,-3.35766
RANDOMSEARCH,-3.48833
RANDOMSEARCH,-3.42256
RANDOMSEARCH,-3.36888
RANDOMSEARCH,-3.35312
RANDOMSEARCH,-3.42804
RANDOMSEARCH,-3.45669
RANDOMSEARCH,-3.35699
RANDOMSEARCH,-3.38236
RANDOMSEARCH,-3.44155
RANDOMSEARCH,-3.4057
RANDOMSEARCH,-3.386
RANDOMSEARCH,-3.43551
RANDOMSEARCH,-3.37914
RANDOMSEARCH,-3.3569
RANDOMSEARCH,-3.39034
RANDOMSEARCH,-3.41668
RANDOMSEARCH,-3.44555
RANDOMSEARCH,-3.34226
RANDOMSEARCH,-3.48581
RANDOMSEARCH,-3.4681
RANDOMSEARCH,-3.34174
RANDOMSEARCH,-3.32054
RANDOMSEARCH,-3.38111
RANDOMSEARCH,-3.35283
RANDOMSEARCH,-3.44816
RANDOMSEARCH,-3.40948
RANDOMSEARCH,-3.3804
RANDOMSEARCH,-3.42806
RANDOMSEARCH,-3.41749
RANDOMSEARCH,-3.3704
RANDOMSEARCH,-3.3943
RANDOMSEARCH,-3.44656
RANDOMSEARCH,-3.40743
RANDOMSEARCH,-3.39559
RANDOMSEARCH,-3.41741
RANDOMSEARCH,-3.41901
RANDOMSEARCH,-3.39616
RANDOMSEARCH,-3.43346
RANDOMSEARCH,-3.43622
RANDOMSEARCH,-3.39152
RANDOMSEARCH,-3.40574
RANDOMSEARCH,-3.42529
RANDOMSEARCH,-3.33494
RANDOMSEARCH,-3.40902
RANDOMSEARCH,-3.42704
GREEDYSEARCH,-3.30468
LOCALSEARCH,-3.15734
LOCALSEARCH,-3.16254
LOCALSEARCH,-3.04737
LOCALSEARCH,-3.11431
LOCALSEARCH,-3.03841
LOCALSEARCH,-3.13947
LOCALSEARCH,-2.97526
LOCALSEARCH,-3.1984
LOCALSEARCH,-3.13916
LOCALSEARCH,-3.16557
LOCALSEARCH,-3.24844
LOCALSEARCH,-2.96395
LOCALSEARCH,-3.10641
LOCALSEARCH,-3.03912
LOCALSEARCH,-2.99209
LOCALSEARCH,-3.11169
LOCALSEARCH,-3.19844
LOCALSEARCH,-3.06747
LOCALSEARCH,-3.17665
LOCALSEARCH,-3.10016
LOCALSEARCH,-3.12317
LOCALSEARCH,-3.18897
LOCALSEARCH,-3.18079
LOCALSEARCH,-3.11694
LOCALSEARCH,-3.05162
LOCALSEARCH,-2.99765
LOCALSEARCH,-3.11858
LOCALSEARCH,-3.02841
LOCALSEARCH,-3.08283
LOCALSEARCH,-2.95319
LOCALSEARCH,-3.20896
LOCALSEARCH,-3.21068
LOCALSEARCH,-2.99214
LOCALSEARCH,-3.17544
LOCALSEARCH,-3.18076
LOCALSEARCH,-3.04485
LOCALSEARCH,-3.22522
LOCALSEARCH,-3.17216
LOCALSEARCH,-3.11895
LOCALSEARCH,-2.9987
LOCALSEARCH,-2.98287
LOCALSEARCH,-3.19584
LOCALSEARCH,-3.01653
LOCALSEARCH,-3.16974
LOCALSEARCH,-3.2246
LOCALSEARCH,-3.21709
LOCALSEARCH,-3.1223
LOCALSEARCH,-3.24445
LOCALSEARCH,-3.06078
LOCALSEARCH,-3.24062
LOCALSEARCHBEST,-3.91879
LOCALSEARCHBEST,-3.77846
LOCALSEARCHBEST,-3.7141
LOCALSEARCHBEST,-3.72123
LOCALSEARCHBEST,-3.67841
LOCALSEARCHBEST,-3.84773
LOCALSEARCHBEST,-3.51202
LOCALSEARCHBEST,-3.91185
LOCALSEARCHBEST,-4.05905
LOCALSEARCHBEST,-3.8346
LOCALSEARCHBEST,-3.93104
LOCALSEARCHBEST,-3.38472
LOCALSEARCHBEST,-3.77482
LOCALSEARCHBEST,-3.89681
LOCALSEARCHBEST,-3.78326
LOCALSEARCHBEST,-3.88706
LOCALSEARCHBEST,-3.80915
LOCALSEARCHBEST,-4.01498
LOCALSEARCHBEST,-4.01288
LOCALSEARCHBEST,-3.96913
LOCALSEARCHBEST,-3.90903
LOCALSEARCHBEST,-3.92674
LOCALSEARCHBEST,-4.20509
LOCALSEARCHBEST,-3.8508
LOCALSEARCHBEST,-3.98431
LOCALSEARCHBEST,-3.8228
LOCALSEARCHBEST,-4.02197
LOCALSEARCHBEST,-3.87829
LOCALSEARCHBEST,-4.04179
LOCALSEARCHBEST,-3.64246
LOCALSEARCHBEST,-3.88352
LOCALSEARCHBEST,-3.89232
LOCALSEARCHBEST,-3.56984
LOCALSEARCHBEST,-4.21606
LOCALSEARCHBEST,-3.9145
LOCALSEARCHBEST,-3.71683
LOCALSEARCHBEST,-3.87605
LOCALSEARCHBEST,-3.97668
LOCALSEARCHBEST,-3.97383
LOCALSEARCHBEST,-3.72602
LOCALSEARCHBEST,-3.7685
LOCALSEARCHBEST,-3.77596
LOCALSEARCHBEST,-3.59423
LOCALSEARCHBEST,-3.69262
LOCALSEARCHBEST,-3.96882
LOCALSEARCHBEST,-3.82118
LOCALSEARCHBEST,-4.08851
LOCALSEARCHBEST,-3.95845
LOCALSEARCHBEST,-3.72306
LOCALSEARCHBEST,-3.87
LOCALSEARCHMULTI,-3.03231
LOCALSEARCHMULTI,-2.99461
LOCALSEARCHMULTI,-3.04737
LOCALSEARCHMULTI,-3.03074
LOCALSEARCHMULTI,-2.96893
LOCALSEARCHMULTI,-3.13947
LOCALSEARCHMULTI,-2.97526
LOCALSEARCHMULTI,-2.99291
LOCALSEARCHMULTI,-3.09781
LOCALSEARCHMULTI,-3.12822
LOCALSEARCHMULTI,-2.98998
LOCALSEARCHMULTI,-2.96395
LOCALSEARCHMULTI,-3.05389
LOCALSEARCHMULTI,-3.03912
LOCALSEARCHMULTI,-2.99209
LOCALSEARCHMULTI,-3.11169
LOCALSEARCHMULTI,-3.19844
LOCALSEARCHMULTI,-3.0395
LOCALSEARCHMULTI,-3.00954
LOCALSEARCHMULTI,-3.04914
LOCALSEARCHMULTI,-3.12317
LOCALSEARCHMULTI,-3.0888
LOCALSEARCHMULTI,-3.02251
LOCALSEARCHMULTI,-3.11694
LOCALSEARCHMULTI,-3.05162
LOCALSEARCHMULTI,-2.99765
LOCALSEARCHMULTI,-3.11858
LOCALSEARCHMULTI,-3.00898
LOCALSEARCHMULTI,-3.08283
LOCALSEARCHMULTI,-2.95319
LOCALSEARCHMULTI,-3.12964
LOCALSEARCHMULTI,-3.0591
LOCALSEARCHMULTI,-2.99214
LOCALSEARCHMULTI,-3.11079
LOCALSEARCHMULTI,-3.03335
LOCALSEARCHMULTI,-2.99176
LOCALSEARCHMULTI,-3.21639
LOCALSEARCHMULTI,-3.00007
LOCALSEARCHMULTI,-3.01363
LOCALSEARCHMULTI,-2.9987
LOCALSEARCHMULTI,-2.98287
LOCALSEARCHMULTI,-3.04125
LOCALSEARCHMULTI,-3.01653
LOCALSEARCHMULTI,-3.07409
LOCALSEARCHMULTI,-2.96317
LOCALSEARCHMULTI,-3.03038
LOCALSEARCHMULTI,-3.01578
LOCALSEARCHMULTI,-3.06463
LOCALSEARCHMULTI,-3.05227
LOCALSEARCHMULTI,-2.9996
AGG-ARIT,-3.07767
AGG-ARIT,-3.12819
AGG-ARIT,-3.11337
AGG-ARIT,-3.14488
